source,record_id,name,other_names,address,city,state,postal_code,phone,taxonomy,last_updated,latitude,longitude
nppes,1376390062,ADVANCED MEDICAL LLC,,755 QUALITY AVE N,LAKELAND,MN,55043,619-710-9543,General Practice,2024-05-01,44.958613546843,-92.777190363066
nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",COTTAGE GROVE,MN,55016,651-459-7888,"Dentist, General Practice",2013-10-04,44.833485121878,-92.953880506974
nppes,1043365992,"ARNOLD ORTHODONTICS, PA","THOMAS G. ARNOLD, DDS, MS",10920 175TH CT W,LAKEVILLE,MN,55044,952-892-5300,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-08-22,44.695739562785,-93.286344639141
nppes,1104430289,"BATES ORTHODONTICS, PLC",,"14755 VICTOR HUGO BLVD N, STE 103",HUGO,MN,55038,651-429-0094,"Dentist, Orthodontics and Dentofacial Orthopedics",2020-09-04,45.16497590939,-93.017084045402
nppes,1154542447,BRADLEY J. NELSON D.D.S. P.A.,,363 5TH AVE N,BAYPORT,MN,55003,651-439-4115,"Dentist, General Practice",2020-08-22,45.021460904362,-92.782126450345
nppes,1225107998,BRUCE F FILSON DDS PA,FILSON GENTLE DENTISTRY,277 3RD ST N,BAYPORT,MN,55003,651-439-2352,"Dentist, General Practice",2020-08-22,45.018331803474,-92.779643175564
nppes,1891979050,CAHILL DENTAL CARE PA,,6105 CAHILL AVE,INVER GROVE HEIGHTS,MN,55076,651-451-9101,"Dentist, General Practice",2008-08-13,44.860071629846,-93.045079234786
nppes,1255369278,"CAMEO DENTAL, P.A.",,14470 CAMEO AVE,ROSEMOUNT,MN,55068,651-423-2259,"Dentist, General Practice",2013-05-08,44.739506715615,-93.128053000075
nppes,1598243990,"CARLSON DISTINCTIVE DENTISTRY, PLLC",,1701 CURVE CREST BLVD W STE 100,STILLWATER,MN,55082,651-439-8840,"Dentist, General Practice",2023-03-07,45.04027097532,-92.830261365665
nppes,1003035064,CASSANDRA L ZIRBEL DDS MS,ORTHODONTICS BY ZIRBEL,7729 79TH ST S,COTTAGE GROVE,MN,55016,651-459-6674,"Dentist, Orthodontics and Dentofacial Orthopedics",2016-11-02,44.835017877212,-92.950699449605
nppes,1356977136,"CHARYL WEINGARTEN, D.D.S., P.L.L.C",LINO LAKES FAMILY DENTISTRY,591 APOLLO DR,LINO LAKES,MN,55014,651-786-7630,"Dentist, General Practice",2020-03-12,45.182285469272,-93.115623165255
nppes,1386775450,CIRCLE PINES DENTAL P.A.,,640 CIVIC HEIGHTS DR,CIRCLE PINES,MN,55014,763-786-3432,"Dentist, General Practice",2020-08-22,45.145808996189,-93.153052690527
nppes,1588899199,COSMOPOLITAN ORTHODONTICS LLC,,17757 JUNIPER PATH,LAKEVILLE,MN,55044,951-469-3333,"Dentist, Orthodontics and Dentofacial Orthopedics",2009-05-27,44.691895423447,-93.284799675062
nppes,1093495574,"COTTAGE GROVE SMILES DENTISTRY, PC",COTTAGE GROVE SMILES DENTISTRY,7240 E POINT DOUGLAS RD S STE 150,COTTAGE GROVE,MN,55016,651-352-4628,"Dentist, General Practice",2023-07-20,44.829783191715,-92.958400325135
nppes,1467405456,"DENTAL HEALTH CENTER, DDS, PA",,19645 PILOT KNOB RD,FARMINGTON,MN,55024,651-463-2300,Dentist,2013-01-22,44.666062043462,-93.176786301344
nppes,1558431890,DENTAL SOUTH PA,,800 MARIE AVENUE,SOUTH ST PAUL,MN,55075,651-451-1277,Dentist,2019-12-02,44.890777268143,-93.131432661513
nppes,1760013015,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS ROSEMOUNT,15015 CIMARRON AVE,ROSEMOUNT,MN,55068,952-926-2835,"Clinic/Center, Dental",2020-01-28,44.731443409744,-93.139035422697
nppes,1346316189,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS HIGH POINTE,"8650 HUDSON BLVD N, SUITE 105",LAKE ELMO,MN,55042,651-714-9477,"Dentist, Endodontics",2020-01-28,44.949239035161,-92.923743954356
nppes,1710317417,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,11240 STILLWATER BLVD N,LAKE ELMO,MN,55042,651-777-0210,"Dentist, Periodontics",2020-10-28,45.003456836137,-92.877836205711
nppes,1386489318,"DENTALIGN, PA",TC ORTHODONTICS,10920 175TH COURT W,LAKEVILLE,MN,55044,952-892-5300,"Dentist, Orthodontics and Dentofacial Orthopedics",2024-07-01,44.695739562785,-93.286344639141
nppes,1417881707,"DENTISTS OF LINO LAKES, PC",DENTISTS OF LINO LAKES,7705 LAKE DR,LINO LAKES,MN,55014,651-727-8101,"Dentist, General Practice",2026-06-11,45.185961677253,-93.10920911584
nppes,1114333986,"DRESEN RESTORATIVE DENTISTRY, PA",,"6936 PINE ARBOR DR S, SUITE 210",COTTAGE GROVE,MN,55016,651-735-1585,Dentist,2014-07-01,44.849229364135,-92.950538308273
nppes,1497094908,ERIC M KNAFF P.A.,,69 LAKE ST N STE 100,FOREST LAKE,MN,55025,651-464-3425,"Dentist, General Practice",2013-02-04,45.281347787819,-92.984305084598
nppes,1548442411,"FAMILY & COSMETIC GENTLE DENTISTRY, LTD",,8711 E POINT DOUGLAS RD S,COTTAGE GROVE,MN,55016,651-379-9892,"Dentist, General Practice",2008-12-05,44.815878633717,-92.929118700092
nppes,1811630551,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS ROSEMOUNT,14455 S ROBERT TRL,ROSEMOUNT,MN,55068,651-423-6302,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-04-20,44.740043423251,-93.126157904777
nppes,1932842663,FAMILY ORTHODONTIC SPECIALISTS PLC,WOODLAKE ORTHODONTICS LAKE ELMO,8980 HUDSON BLVD N,LAKE ELMO,MN,55042,651-501-1467,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-04-20,44.94925487066,-92.924032897307
nppes,1871106393,FOREST LAKE ENDODONTICS,FOREST LAKE ENDODONTICS,1420 LAKE ST S STE 200,FOREST LAKE,MN,55025,651-464-9888,"Dentist, Endodontics",2020-09-08,45.266304657282,-92.983631276811
nppes,1023452638,FOREST LAKE ORTHODONTICS,"TRAVIS W. WILLE, DDS, MS","25 LAKE ST N, SUITE 135",FOREST LAKE,MN,55025,651-464-1151,"Dentist, Orthodontics and Dentofacial Orthopedics",2013-04-25,45.280422027878,-92.984662813452
nppes,1790776144,G2 DENTAL,,"1068 LAKE ST S, #209",FOREST LAKE,MN,55025,651-464-2248,Dentist,2020-08-22,45.268719855578,-92.983629904485
nppes,1821079583,G2 SOUTH,,5846 BLACKSHIRE PATH,INVER GROVE HEIGHTS,MN,55016,651-389-1133,Dentist,2020-08-22,44.863840311817,-93.054068104065
nppes,1023127388,G2 SOUTH PLLC,,5846 BLACKSHIRE PATH,INVER GROVE HEIGHTS,MN,55076,651-389-1133,Dentist,2008-08-13,44.863840311817,-93.054068104065
nppes,1346320595,"GARY L BERGH DDS, PA",,7555 CLOMAN WAY,INVER GROVE HEIGHTS,MN,55076,651-455-2644,"Dentist, General Practice",2020-08-22,44.840091759064,-93.03256872012
nppes,1710054986,GLEN OAKS DENTAL PLLP,,"2 S PINE DR, STE M",CIRCLE PINES,MN,55014,763-786-8460,"Dentist, General Practice",2020-08-22,45.148252867261,-93.15040130378
nppes,1770702714,"GOSSAI & KNUTSON, DDS, PA",SOUTHILL DENTAL GROUP PA,"2850 CURVE CREST BLVD W, SUITE 200",STILLWATER,MN,55082,651-439-9400,"Dentist, General Practice",2013-04-02,45.036942513511,-92.849031536499
nppes,1891442174-pl1,"GREAT RIVER ORTHODONTIC SPECIALISTS, SC",ROSS ORTHODONTICS,368 LAKE ST S STE 101,FOREST LAKE,MN,55025,651-464-6988,"Dentist, Orthodontics and Dentofacial Orthopedics",2022-03-07,45.274894800664,-92.984001686461
nppes,1992915649,"GROUP HEALTH PLAN, INC",THREE RIVERS DENTAL CARE,1395 CURVE CREST BLVD W,STILLWATER,MN,55082,651-430-0036,Dentist,2014-12-29,,
nppes,1700975216,"GROUP HEALTH PLAN, INC.",THREE RIVERS ORTHODONTICS,1395 CURVE CREST BLVD,STILLWATER,MN,55082,651-439-1966,"Dentist, Orthodontics and Dentofacial Orthopedics",2014-12-29,,
nppes,1093261190,"GROUP HEALTH, INC.",,8515 EAGLE POINT BLVD,LAKE ELMO,MN,55042,651-523-9950,Dentist,2026-08-14,44.952754720525,-92.929631698793
