source,record_id,name,other_names,address,city,state,postal_code,phone,latitude,longitude
osm,node/547074054,Gentle Dentistry,,8074 Old Carriage Court,,MN,,,44.7752897,-93.4147341
osm,node/547074088,Crossings Dental Care,,,,MN,,,44.7819075,-93.4145255
osm,node/652952171,Metro Dental Care,,,,MN,,+1-763-323-3042,45.2083177,-93.3611701
osm,node/747615453,Twin Cities Periodontics,,3555 Louisiana Avenue South,Saint Louis Park,MN,55426,,44.9394972,-93.3691318
osm,node/765261090,Chanhassen Dental,,,,MN,,,44.8623483,-93.5341591
osm,node/772369155,Children's Dental Care,,,,MN,,,44.7453772,-93.3781684
osm,node/773059092,Dr. Bob Maley Family Dentistry,,,,MN,,,44.9122917,-93.1485389
osm,node/937197698,City Dental,,3262 Lake Street West,Minneapolis,MN,55416,,44.94905,-93.3214858
osm,node/1188081610,Eden Lakes Dental,,,,MN,,,44.836293,-93.400791
osm,node/1411811129,Snelling Avenue Dental,,,,MN,,+1-651-699-5600,44.9232344,-93.1665109
osm,node/1696599650,Riverbed Family Dentist,,,,MN,,+1 651-699-3212,44.9340379,-93.1877486
osm,node/1696695965,Groveland Dental,,2042 Saint Clair Avenue,Saint Paul,MN,55105,,44.9342228,-93.1866013
osm,node/1719957678,Gentle Dentistry,,1340 Duckwood Drive,Eagan,MN,55123,+1 651-209-9999,44.8268962,-93.1629891
osm,node/1933939173,Ted Burke Dental Office,,,,MN,,,44.6109908,-92.9997887
osm,node/2006887045,Wood Park Dental,,,,MN,,,44.737963,-93.258841
osm,node/2047264671,Duren Family Dental,,,,MN,,+1 952 4354142,44.750903,-93.283509
osm,node/2503125447,Park Dental Ridgepark,,13059 Ridgedale Drive,,MN,55305,,44.9672805,-93.4446379
osm,node/2913647859,Great River Dental,,,,MN,,,44.9482385,-93.0899868
osm,node/3201016445,ADT Dental,,"2230,2232 Hennepin Avenue South",Minneapolis,MN,55408,+1 612 377 6108,44.9602606,-93.2941144
osm,node/3215276672,Jakubas Dental Clinic,,4554 Minnehaha Avenue,Minneapolis,MN,55406,,44.9199656,-93.2154841
osm,node/3497689945,Lakeside Orthodontics,,1696 Grand Avenue,Saint Paul,MN,55105,+1-651-699-2013,44.9399614,-93.1722132
osm,node/3527467484,Beeman Dental Clinic,,2306 West 50th Street,,MN,55410,,44.9125533,-93.3090797
osm,node/3532499008,Linden Hills Dentistry,,4289 Sheridan Avenue South,Minneapolis,MN,55410,+1-612-922-6164,44.9247133,-93.3144236
osm,node/3627771163,Park Dental Grand,,"917 Grand Avenue, Ste 5",Saint Paul,MN,55105,+1-651-221-1902,44.9404577,-93.1387829
osm,node/3993101977,Maple Grove Smiles Dentistry,,12737 Elm Creek Boulevard,,MN,,,45.0943016,-93.4424892
osm,node/4119782525,Artisan Dental,,,,MN,,+1-763-519-8880,45.0287185,-93.455227
osm,node/4331102007,Knollwood Dentistry,,8458 Minnesota State Highway 7,Saint Louis Park,MN,55426,,44.9363192,-93.3857158
osm,node/4621509971,"Eat Street Dental, PLLC",,2701 Nicollet Avenue,Minneapolis,MN,55408,+1-612-874-7674,44.9535661,-93.2776173
osm,node/4621509977,Tung Doan Dentistry,,"2727 Nicollet Avenue, 104",Minneapolis,MN,55408,+1-612-879-0543,44.9528365,-93.2774343
osm,node/4751252074,Metro DentalCare,,,,MN,,,44.8535237,-93.4330636
osm,node/4869073856,TwinCare Dental,,4601 Bloomington Avenue,Minneapolis,MN,55407,+1-612-886-3270,44.9195021,-93.2521289
osm,node/5140487299,Platt Dentistry,,11183 205th Street West,Lakeville,MN,55044,+1-952-469-4588,44.6532388,-93.2916457
osm,node/5155493038,Dr. James F. Lesch Family Dentristy,,20779 Holyoke Avenue,Lakeville,MN,55044,+1-952-469-5213,44.648503,-93.2430412
osm,node/5287811004,Metro Dentalcare South Minneapolis,,4552 Bryant Avenue South,Minneapolis,MN,55419,+1-612-825-1697,44.9197165,-93.2911026
osm,node/5359130116,Sorenson Dental,,14688 Everton Avenue North,Hugo,MN,55038,+1-651-204-0201,45.1634274,-93.0104978
osm,node/5361754637,Midwest Dental,,2010 27th Avenue South,Minneapolis,MN,55406,+1-612-336-8478,44.9623914,-93.233262
osm,node/5577469202,Grove Endodontics,,,,MN,,,44.8148906,-92.9282945
osm,node/5627329557,Southside Dental Clinic,,4243 4th Avenue South,Minneapolis,MN,55409,+1-877-938-9341,44.9255547,-93.2699826
osm,node/5728461222,Integrity Dental Care,,,,MN,,,44.8340228,-92.9547414
osm,node/5729081339,Pine Arbor Dental Care,,,,MN,,,44.84858,-92.9511039
osm,node/6033465437,Lifelong Dental Care,,1525 Livingston Avenue,West St Paul,MN,55118,+1-651-457-4888,44.9004019,-93.0825469
osm,node/6236126673,Wayzata Dental,,"250 Central Avenue North, 202",Wayzata,MN,55391,+1-952-473-4900,44.9742506,-93.5014622
osm,node/6275543772,St. Paul Oral Surgery,,2550 University Avenue West,Saint Paul,MN,55114,,44.9654829,-93.2042933
osm,node/6391789948,Metro Dentalcare Chanhassen,,7806 Market Boulevard,Chanhassen,MN,55317,+1-952-949-1083,44.8618997,-93.5384217
osm,node/6391789951,Bluff Creek Dental,,600 Market Street,Chanhassen,MN,55317,,44.8608295,-93.536681
osm,node/6429527885,Diamond Lake Dental,,624 West 54th Street,,MN,,,44.9052347,-93.2877059
osm,node/6453441261,Metro Denal Care,,,,MN,,,45.1297392,-93.2580929
osm,node/6566621917,Jain Dental,,4600 Excelsior Boulevard,Saint Louis Park,MN,55416,,44.9340765,-93.3382184
osm,node/6611097224,Orthodontic Care Specialists,,,,MN,,+1-952-920-1373,44.9314911,-93.3441181
osm,node/6611097229,Metro Dentalcare,,"4959 Excelsior Boulevard, 200",Saint Louis Park,MN,55416,+1-952-920-8774,44.9313675,-93.3440368
osm,node/6656004386,HealthPartners Dental,,5500 Excelsior Boulevard,Saint Louis Park,MN,55416,,44.9318326,-93.3487739
osm,node/6734428577,Stone Creek Dental,,"7935 Stone Creek Drive, 150",Chanhassen,MN,55317,,44.8624338,-93.5711177
osm,node/6829122522,Isles Dental,,2534 Hennepin Avenue South,,MN,,+1-612-374-4321,44.956171,-93.2967752
osm,node/6835960221,Sm:)e Orthodontics,,2214 Hennepin Avenue South,,MN,,,44.9602646,-93.2935194
osm,node/6972451704,ABC Dental PA,,3371 Coon Rapids Boulevard Northwest,Coon Rapids,MN,55433,,45.178526,-93.3521183
osm,node/7089810773,Pioneer Dental,,,,MN,,,45.0336848,-93.3820219
osm,node/7129231770,Minnesota Dental Group,,"4125 Lakeland Avenue North, #200",Robbinsdale,MN,55422,,45.030719,-93.3375973
osm,node/7137228124,Champlin Dentistry,,,,MN,,,45.1588856,-93.3908206
osm,node/7147743959,Twin Cities Oral & Maxillofacial Surgery,,1790 Lexington Avenue North,Roseville,MN,55113,+1-651-488-9884,44.9952426,-93.1460688
osm,node/7147743967,Como Park Dentistry,,1132 Larpenteur Avenue West,Roseville,MN,55113,+1-651-489-0641,44.9917031,-93.1478327
osm,node/7147762888,Thayer Orthodontics,,1050 Larpenteur Avenue West,Saint Paul,MN,55113,+1-651-488-5622,44.9917614,-93.1452519
osm,node/7147762889,St. Paul Family Dentistry,,1050 Larpenteur Avenue West,Saint Paul,MN,55113,+1-651-488-5522,44.9917738,-93.1450713
osm,node/7156640350,Minnesota Orthodontics,,,,MN,,,45.2023282,-93.5498
osm,node/7167433141,Rasmussen Dental,,"9750 Rockford Road, Suite 400",Plymouth,MN,55442,,45.0341575,-93.4036182
osm,node/7168431321,Richfield Dentistry,,6411 Richfield Parkway,Richfield,MN,55423,,44.8865575,-93.2487057
osm,node/7170036800,Comfortable Dental,,"5700 Bottineau Boulevard, Suite 270",Crystal,MN,55429,,45.056585,-93.3591199
osm,node/7170492212,Brite Dental Center,,,,MN,,+1-612-886-3238,44.9484962,-93.2704816
osm,node/7176583044,Dentists of West Saint Paul,,"1740 Robert Street South, Unit 110",West Saint Paul,MN,55118,,44.8938815,-93.0801939
osm,node/7201827393,Family Dentistry,Dr Roger C Stoddard Family Dental Clinic,2480 White Bear Avenue,Maplewood,MN,55109,+1-651-776-1597,45.0161967,-93.0190629
osm,node/7201827394,Jensen and Jensen Periodontics - Implants,,"2480 White Bear Avenue, #201",Maplewood,MN,55109,,45.0161672,-93.019127
osm,node/7201827396,"Orthodontics - David C Dueval, DDS, MS",,2480 White Bear Avenue,Maplewood,MN,55109,,45.0162134,-93.0192137
osm,node/7202107156,The Dental Clinic,,1932 University Avenue,Saint Paul,MN,55104,+1-612-444-1949,44.9572033,-93.1813329
osm,node/7205080255,"Dr Gloria Lopez Franco, DDS",,120 Snelling Avenue,Saint Paul,MN,55104,+1-651-645-6111,44.9553981,-93.1689674
osm,node/7294714122,Falcon Heights Dental,,1549 Larpenteur Avenue West,,MN,,+1-651-646-0412,44.9920789,-93.1653057
osm,node/7360527133,Gentle Dentistry,,,,MN,,,44.8155723,-92.9296877
osm,node/7360557227,Silver Lake Dental,,,,MN,,,45.0590647,-93.1935809
osm,node/7360563647,Thomas Hardel Family Dentistry,,,,MN,,,45.0647566,-93.192895
osm,node/8141725494,Chanhassen Family Dentistry,,8116 Mallory Court,Chanhassen,MN,55317,+1-952-443-3368,44.856576,-93.5543361
osm,node/8143276702,Park Dental Edinbrook,,,,MN,,,45.1103556,-93.3093047
osm,node/8149821514,Dr. Luke's Dental,,,,MN,,+1-763-425-5277,45.1099065,-93.3296156
osm,node/8165857405,Hamline Family Dental,,,,MN,,+1-651-699-5600,44.9921326,-93.15696
osm,node/8643396152,Silver Lake Smiles,,1125 Palmer Drive,New Brighton,MN,55112,,45.0678428,-93.2176408
osm,node/8829958521,West River Dental Care,,,,MN,,+1-612-721-2424,44.948132,-93.2136372
osm,node/8902410044,Elm Creek Dental,,,,MN,,,45.0970232,-93.4413892
osm,node/8925060127,Grand Avenue Dental,,,,MN,,+1-651-291-9667,44.9397689,-93.1406512
osm,node/8963308986,Progessive Dental,,"1036 1st Avenue East, 100",Shakopee,MN,55379,+1-952-445-6220,44.7999264,-93.5134251
osm,node/9018998040,Metro Dentalcare,,1759 17th Avenue East,Shakopee,MN,55379,+1-952-496-2385,44.7740461,-93.5008268
osm,node/9236659368,Osage Dental Associates,,,,MN,,,45.1786804,-93.3187152
