osm_key,nppes_key,pass1,pass2,label,reason
osm:node/10134443644,nppes:1225696925,different,different,different,other practice elsewhere; different phone
osm:node/10134443644,nppes:1518033695,same,same,same,same address and phone; Park Dental
osm:node/10134443644,nppes:1578606778,different,different,different,co-located specialists; different phone
osm:node/10134443644,nppes:1689732133,different,different,different,Park Dental at another site
osm:node/10134443644,nppes:1710001284,different,different,different,co-located orthodontist; different phone
osm:node/10245351037,nppes:1356854442-pl4,different,different,different,different name 131 m away
osm:node/10245351037,nppes:1609718311,same,same,same,same phone 74 m away; dentist PC
osm:node/10245351037,nppes:1821493396,different,different,different,different name and phone
osm:node/10597376675,nppes:1255870531,different,different,different,different name 1 km away
osm:node/10597376675,nppes:1457969636,different,different,different,orthodontist 104 m away; different name
osm:node/10597376675,nppes:1700534138,different,different,different,Metro Dentalcare 168 m away; different name
osm:node/10597376685,nppes:1073727293,unsure,unsure,unsure,generic OSM name 71 m away; no phone or address to link
osm:node/10597376689,nppes:1073727293,different,different,different,different name; street number 8785 vs 8775
osm:node/10604807800,nppes:1316913411,unsure,different,unsure,adjudicated: rule 4; OSM has no address or phone and the registry record no coordinate; rule 1 says a missing coordinate is no evidence
osm:node/10604807800,nppes:1497403810,unsure,different,unsure,adjudicated: rule 4; OSM has no address or phone and the registry record no coordinate; rule 1 says a missing coordinate is no evidence
osm:node/10604807800,nppes:1689324311,unsure,different,unsure,adjudicated: rule 4; OSM has no address or phone and the registry record no coordinate; rule 1 says a missing coordinate is no evidence
osm:node/10604807800,nppes:1881841021,unsure,different,unsure,adjudicated: rule 4; OSM has no address or phone and the registry record no coordinate; rule 1 says a missing coordinate is no evidence
osm:node/10604807800,nppes:1891443263,unsure,different,unsure,adjudicated: rule 4; OSM has no address or phone and the registry record no coordinate; rule 1 says a missing coordinate is no evidence
osm:node/10652451249,nppes:1255490389,same,same,same,DBA matches 33 m away
osm:node/10652451249,nppes:1619451192,different,different,different,different name 232 m away
osm:node/10681831525,nppes:1023681152,different,different,different,different name; location unknown
osm:node/10681831525,nppes:1043715204,different,different,different,different name 53 m away
osm:node/10681831525,nppes:1043715204-pl1,different,different,different,different name 53 m away
osm:node/10681831525,nppes:1578505152-pl2,different,different,different,chain; OSM point is at the Pilot Knob site (row 26)
osm:node/10681831525,nppes:1578505152-pl4,different,different,different,chain; OSM point is at the Pilot Knob site (row 26)
osm:node/10681831525,nppes:1578505152-pl6,same,same,same,same name 65 m away
osm:node/10737423667,nppes:1124198635,different,different,different,different name
osm:node/10737423667,nppes:1386715704,same,same,same,exact name; single practice; registry record not geocoded
osm:node/10737423667,nppes:1619496700,different,different,different,orthodontist 87 m away; different name
osm:node/11007656046,nppes:1043365992,different,different,different,different name 92 m away
osm:node/11007656046,nppes:1255442620,different,different,different,different name 1.8 km away
osm:node/11007656046,nppes:1386489318,different,different,different,different name 92 m away
osm:node/11007656046,nppes:1689732133,different,different,different,Park Dental in Prior Lake; OSM names Lakeville
osm:node/11104668358,nppes:1588899199,different,different,different,different name 68 m away
osm:node/11104668359,nppes:1588899199,same,same,same,same name 33 m away
osm:node/11166194880,nppes:1497991798,different,different,different,different name address and phone
osm:node/11166194880,nppes:1619287562,different,different,different,different name and city
osm:node/11166194880,nppes:1871755991,different,different,different,different name and phone 272 m away
osm:node/11215325078,nppes:1518125160,unsure,unsure,unsure,adjacent suites 230 and 235; dentist PC vs practice name; no phone
osm:node/11332270945,nppes:1679618326,different,different,different,different orthodontist 922 m away
osm:node/11332270945,nppes:1952582702,same,same,same,DBA Ekim Orthodontics 73 m away
osm:node/11332270946,nppes:1952582702,different,different,different,different name 91 m away
osm:node/11472428069,nppes:1023664935,same,same,same,DBA Lakes Orthodontics 83 m away
osm:node/11472428069,nppes:1023681152,different,different,different,different name; location unknown
osm:node/11472428069,nppes:1154971380-pl1,different,different,different,different name 148 m away
osm:node/11472428069,nppes:1235429267,different,different,different,different name 148 m away
osm:node/11472428069,nppes:1245393230,same,same,same,Lakes Orthodontic Associates 83 m away
osm:node/11472428069,nppes:1255974325-pl4,same,same,same,same address and phone as Lakes Orthodontics; probable acquisition
osm:node/11472428069,nppes:1508132663,different,different,different,different name 240 m away
osm:node/11472428069,nppes:1619065539,different,different,different,different name 240 m away
osm:node/11472428069,nppes:1730782467,different,different,different,different name and city
osm:node/11686430903,nppes:1932768157,unsure,same,unsure,adjudicated: rule 2c needs a shared phone to tie a dentist's PLLC to a practice name; OSM has none
osm:node/11711817393,nppes:1023681152,different,different,different,different name; location unknown
osm:node/11711817393,nppes:1326796764,different,different,different,different name 207 m away
osm:node/11777821189,nppes:1841417003,different,different,different,Town Dental at a different Chaska address
osm:node/11780026077,nppes:1245315829,different,different,different,different name and address
osm:node/11780026077,nppes:1528997830,same,same,same,same address; dentist PC with Town Dental phone (rows 58 59)
osm:node/11780026077,nppes:1639398886,same,same,same,same address; Town Dental
osm:node/11780026077,nppes:1962460881,same,same,same,same address; Town Dental
osm:node/11852879266,nppes:1114207362,same,same,same,same address and suite; names match
osm:node/1188081610,nppes:1245844588,different,different,different,different name 66 m away
osm:node/11944869727,nppes:1053127852,different,different,different,different suite name and phone
osm:node/11944869727,nppes:1063887719,different,different,different,different suite name and phone
osm:node/11944869727,nppes:1831963487,same,same,same,same suite and phone; dentist PC
osm:node/11968918163,nppes:1417447210,same,same,same,same address and suite; names match
osm:node/11968918163,nppes:1417447210-pl1,different,different,different,second site 794 m away
osm:node/11988962361,nppes:1316913411,different,different,different,Metro Dentalcare in Lakeville
osm:node/11988962361,nppes:1548659824,different,different,different,different name 244 m away
osm:node/11988962361,nppes:1881841021,different,different,different,Metro Dentalcare in Prior Lake
osm:node/11988962361,nppes:1891443263,same,same,same,same address and suite; DBA matches
osm:node/11988975533,nppes:1154989507,same,same,same,street number typo 9931 vs 9939; same suite 107 and name
osm:node/12020737355,nppes:1255870531,same,same,same,same address and suite; names match
osm:node/12029268611,nppes:1023681152,different,different,different,Dunn Orthodontics other site; OSM is at Pine Arbor (row 74)
osm:node/12029268611,nppes:1023681152-pl1,same,same,same,DBA Dunn Orthodontics 65 m away
osm:node/12029268611,nppes:1114333986,different,different,different,different name 65 m away
osm:node/12029268611,nppes:1215673454,different,different,different,different name 65 m away
osm:node/12029268611,nppes:1427623966,different,different,different,different name 78 m away
osm:node/12029268611,nppes:1720647589,different,different,different,different name 65 m away
osm:node/12029268613,nppes:1023681152-pl1,different,different,different,different name 63 m away
osm:node/12029268613,nppes:1114333986,different,different,different,different suite phone and name
