osm_key,nppes_key,osm_source,osm_record_id,osm_name,osm_other_names,osm_address,osm_postal_code,osm_phone,nppes_source,nppes_record_id,nppes_name,nppes_other_names,nppes_address,nppes_postal_code,nppes_phone,distance_m
osm:node/10134443644,nppes:1225696925,osm,node/10134443644,Park Dental Brookpark,,6437 Brooklyn Boulevard,,+1-763-531-7177,nppes,1225696925,"MINNESOTA DENTAL PROFESSIONALS, P.C.",DENTAL CARE OF BROOKLYN PARK,5901 94TH AVE N STE 105,55443,763-703-2512,
osm:node/10134443644,nppes:1518033695,osm,node/10134443644,Park Dental Brookpark,,6437 Brooklyn Boulevard,,+1-763-531-7177,nppes,1518033695,"PDG,P.A.",PARK DENTAL,6437 BROOKLYN BLVD,55429,763-531-7177,26
osm:node/10134443644,nppes:1578606778,osm,node/10134443644,Park Dental Brookpark,,6437 Brooklyn Boulevard,,+1-763-531-7177,nppes,1578606778,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,6437 BROOKLYN BLVD,55429,952-926-3128,26
osm:node/10134443644,nppes:1689732133,osm,node/10134443644,Park Dental Brookpark,,6437 Brooklyn Boulevard,,+1-763-531-7177,nppes,1689732133,"PDG,P.A.",PARK DENTAL,"4670 PARK NICOLLET AVE SE, SUITE 100",55372,952-447-7606,
osm:node/10134443644,nppes:1710001284,osm,node/10134443644,Park Dental Brookpark,,6437 Brooklyn Boulevard,,+1-763-531-7177,nppes,1710001284,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,6437 BROOKLYN BLVD,55429,763-535-6010,26
osm:node/10245351037,nppes:1356854442-pl4,osm,node/10245351037,Minneapolis Dentistry Company,,,,+1 612-256-4333,nppes,1356854442-pl4,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS|SM:)E ORTHO,3007 LYNDALE AVE S,55408,651-351-7777,131
osm:node/10245351037,nppes:1609718311,osm,node/10245351037,Minneapolis Dentistry Company,,,,+1 612-256-4333,nppes,1609718311,"PA K. YANG, DDS PPLC",,2936 ALDRICH AVE S,55408,612-256-4333,74
osm:node/10245351037,nppes:1821493396,osm,node/10245351037,Minneapolis Dentistry Company,,,,+1 612-256-4333,nppes,1821493396,"FIANT DENTAL, PLLC",,2937 LYNDALE AVE S,55408,612-827-7400,141
osm:node/10597376675,nppes:1255870531,osm,node/10597376675,Eden Prairie Dental Care,,,,,nppes,1255870531,"DENTISTS OF EDEN PRAIRIE, PC",DENTISTS OF EDEN PRAIRIE,"13000 TECHNOLOGY DR, SUITE 110",55344,952-562-1463,1021
osm:node/10597376675,nppes:1457969636,osm,node/10597376675,Eden Prairie Dental Care,,,,,nppes,1457969636,EDEN PRAIRIE ORTHODONTIC ASSOC,,8200 COMMONWEALTH DR # 100,55344,952-829-0686,104
osm:node/10597376675,nppes:1700534138,osm,node/10597376675,Eden Prairie Dental Care,,,,,nppes,1700534138,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE EDEN PRAIRIE,8353 CRYSTAL VIEW RD STE 105,55344,952-252-4000,168
