pair_key,pass1,pass2,label,reason
nppes:1295907202|osm:node/13089392420,same,same,same,same address; Summit Dental and Summit Dental Care
nppes:1578505152-pl5|nppes:1871155788,different,different,different,different suites names and phones in one building
nppes:1225629017-pl1|nppes:1316538101-pl2,same,same,same,one HealthPartners suite and phone; two departments (2d)
nppes:1164546040|nppes:1326044538,different,different,different,different suites names and phones in one building
nppes:1578505152-pl3|nppes:1962645051,different,different,different,different sites 21 km apart; shared phone only
nppes:1356854442-pl2|nppes:1518572916,different,different,different,chain sites 17 km apart; central phone
nppes:1356404883|nppes:1992820153,different,different,different,general practice and orthodontist; different phones
nppes:1538216411|nppes:1982767125,different,different,different,different suites names and phones in one building
nppes:1619938057|nppes:1952028490,different,different,different,different suites names and phones in one building
nppes:1164546040|nppes:1700589264,different,different,different,different suites names and phones in one building
nppes:1073667051|nppes:1316538101-pl1,same,same,same,HealthPartners dental and pediatric dental at one address (2d)
nppes:1003174764|nppes:1760802722,different,different,different,different sites 27 km apart; shared phone only
nppes:1124411772|nppes:1710321930,same,same,same,same suite and phone; old and new legal entity
nppes:1396483996|osm:node/7176583044,same,same,same,same address and suite; names match
nppes:1356854442-pl4|nppes:1518572916,different,different,different,chain sites 9 km apart; central phone
nppes:1659611333|nppes:1972748721,different,different,different,different suites names and phones in one building
nppes:1649318619|osm:node/6734428577,same,same,same,same suite 150; pair 44 links Axel PC to Stone Creek Dental by phone
nppes:1013153352|nppes:1699838011,different,different,different,different sites 8 km apart; shared phone only
nppes:1720413263|nppes:1861507329,different,different,different,different suites names and phones in one building
nppes:1356854442-pl1|nppes:1689842841,different,different,different,different sites 46 km apart; shared phone only
nppes:1407325830-pl5|nppes:1760540165,different,different,different,different streets names and phones
nppes:1740923309|osm:node/6391789948,same,same,same,same address and phone; DBA matches OSM name
nppes:1922185016|nppes:1942214200,same,same,same,same suite and phone; old and new practice names
nppes:1235311614|nppes:1356854442-pl10,different,different,different,different names and phones; one building
nppes:1053791319|nppes:1184701898,different,different,different,same name and phone at two addresses 7 km apart (rule 3)
nppes:1104569839|osm:node/6611097229,same,same,same,same suite and phone; brand differs; probable change of ownership
nppes:1467870303|nppes:1679765929,same,same,same,street number typo 1485 vs 1495; same name and phone
nppes:1356854442-pl10|nppes:1356854442-pl13,different,different,different,chain sites 12 km apart; central phone
nppes:1043265481|nppes:1891079851,same,same,same,same suite and phone; DBA matches name
nppes:1467515460|nppes:1992820153,different,different,different,different names and phones; one building
nppes:1356854442-pl2|nppes:1831509827,different,different,different,different suites names and phones in one building
nppes:1689732133|nppes:1881841021,same,same,same,same address and phone; Park Dental vs Metro Dentalcare; probable change of ownership
nppes:1740340561|nppes:1982767125,different,different,different,different suites names and phones in one building
nppes:1174045975|nppes:1619041969,different,different,different,different suites names and phones in one building
nppes:1083676944|nppes:1861138133,different,different,different,different suites names and phones in one building
nppes:1710108022|nppes:1770702714,different,different,different,different suites names and phones in one building
nppes:1134547730|nppes:1700589264,different,different,different,different suites names and phones in one building
nppes:1073327995|nppes:1861463465,same,same,same,same suite and phone; DBA matches name
nppes:1275704520|nppes:1710358379,different,different,different,different brands and phones at one address
nppes:1942018825|osm:node/6829122522,same,same,same,same address and phone; names match
nppes:1033223581|osm:node/8829958521,same,same,same,same phone 27 m apart; names match
nppes:1013517093|nppes:1104193762,different,different,different,orthodontist and endodontist; different phones
nppes:1073862819|nppes:1639214547,different,different,different,different suites names and phones in one building
nppes:1508080532|nppes:1649318619,same,same,same,same suite and phone; dentist PC and practice name
nppes:1477170108-pl1|nppes:1477170108-pl4,different,different,different,chain sites 18 km apart; central phone
nppes:1356854442-pl1|nppes:1356854442-pl9,different,different,different,chain sites 15 km apart; central phone
nppes:1356854442|nppes:1689842841,different,different,different,different sites 38 km apart; shared phone only
nppes:1477170108-pl1|nppes:1881783405,different,different,different,orthodontist and endodontist; different suites and phones
nppes:1104977222|osm:node/3215276672,same,same,same,same address; DBA Jakubas Dental matches
nppes:1285691220|nppes:1801982111,different,different,different,different suites names and phones in one building
nppes:1477690279|osm:way/460383876,same,same,same,same address; Brandsness practice name contains the dentist
nppes:1245722297|nppes:1508932344,same,same,same,one brand The Dental Specialists at one address (2d)
nppes:1780790881|nppes:1952468654,different,different,different,different suites names and phones in one building
nppes:1104272939|nppes:1649867334,different,different,different,different suites names and phones in one building
nppes:1063768687|nppes:1245973817,same,same,same,same suite and phone; shared DBA Pro Dental
nppes:1356854442-pl9|nppes:1457064800,different,different,different,chain sites 38 km apart; central phone
nppes:1073862819|nppes:1265589642,different,different,different,different suites names and phones in one building
nppes:1033307046|nppes:1619089737,different,different,different,different addresses 1.1 km apart; shared phone only
nppes:1194997783|nppes:1447860523,same,same,same,same address and phone; dentist PC and Midwest Dental
nppes:1134446370|nppes:1255249470,unsure,unsure,unsure,second name is junk text; different phones; cannot tell
nppes:1699267633|osm:way/1021270932,same,same,same,same address; DBA matches OSM name; geocode 283 m off
nppes:1073063103|nppes:1649867334,different,different,different,different suites names and phones in one building
nppes:1225285208|nppes:1790014777,same,same,same,same address and phone; Olson PC and Olson Dental
nppes:1093842841|nppes:1659543320,same,same,same,same name suite and phone
nppes:1477170108|nppes:1710086459,different,different,different,different suites names and phones in one building
nppes:1124192208|nppes:1134507718,same,same,same,same address and phone; opaque holding name
nppes:1760837041|osm:node/12272163248,same,same,same,same address; Gentle Dentistry name matches
nppes:1669199741|nppes:1861138133,different,different,different,different suites names and phones in one building
nppes:1437580818|osm:way/527997535,same,same,same,same address; names match; geocode 319 m off
nppes:1265589642|nppes:1740455773,different,different,different,different suites names and phones in one building
nppes:1467640029|nppes:1619089737,different,different,different,different addresses 1.1 km apart; shared phone only
nppes:1700975216|nppes:1992915649,same,same,same,one Three Rivers clinic system at one address (2d)
nppes:1891443263|osm:node/11988962361,same,same,same,same address and suite; DBA matches OSM name
nppes:1447961750|nppes:1699601310,different,different,different,different names and phones at one address
nppes:1023681152-pl1|nppes:1114333986,different,different,different,different suites names and phones in one building
nppes:1073063103|nppes:1982775235,different,different,different,different suites names and phones in one building
nppes:1407309784|nppes:1790922854,different,different,different,different suites names and phones in one building
nppes:1447350509|nppes:1861140501,different,different,different,orthodontist and endodontic center; different brands suites and phones
nppes:1134862865|nppes:1669817557,same,same,same,same address and phone; old and new orthodontic entity
nppes:1326044538|nppes:1407008477,same,same,same,same address and phone; periodontic practice and its PLLC
nppes:1003245333|nppes:1659670362,different,different,different,general specialists and orthodontist; different phones
nppes:1043715204|nppes:1043715204-pl1,same,same,same,same NPI name and address; second phone line
nppes:1477170108-pl3|nppes:1477170108-pl4,different,different,different,chain sites 27 km apart; central phone
nppes:1700940343|nppes:1841323110,different,different,different,different names and phones at one address
nppes:1356854442|nppes:1821690496,different,different,different,chain sites; central phone
nppes:1356854442-pl10|nppes:1356854442-pl5,different,different,different,chain sites 34 km apart; central phone
nppes:1649424904|nppes:1962645051,different,different,different,different sites 38 km apart; shared phone only
nppes:1013933381-pl1|nppes:1013933381-pl3,different,different,different,same clinic name at two addresses; central phone
nppes:1326284597|nppes:1720415896,same,same,same,same address and phone; Mahtomedi dental names
nppes:1447416607|nppes:1942018825,same,same,same,same address and phone; names match
nppes:1861546111|osm:way/231160037,same,same,same,same address and phone; names match
nppes:1578505152-pl2|nppes:1578505152-pl6,different,different,different,chain sites; central phone
nppes:1376716043|nppes:1700058690,same,same,same,same suite and phone; DBA matches name
nppes:1578505152-pl2|nppes:1578505152-pl5,different,different,different,chain sites; central phone
nppes:1407325830-pl2|nppes:1407325830-pl7,different,different,different,different sites 15 km apart; shared phone only
nppes:1629521893|osm:way/526980397,same,same,same,same address and phone; practice name differs; probable change of ownership
nppes:1720415896|nppes:1841462652,same,same,same,same address and phone; Mahtomedi dental names
nppes:1225178361|nppes:1780902080,same,same,same,same suite and phone; shared DBA
nppes:1578505152-pl1|nppes:1578505152-pl7,different,different,different,chain sites 36 km apart; central phone
nppes:1093442048|nppes:1891295861,same,same,same,same address and phone; DBA matches name
nppes:1073970273|osm:way/157489499,same,same,same,same address; names match; phones differ
nppes:1356854442-pl1|nppes:1356854442-pl13,different,different,different,chain sites 34 km apart; central phone
nppes:1063288017|nppes:1255442620,same,same,same,street number typo 16372 vs 16375; same suite name and phone
nppes:1689842841|nppes:1740259464,same,same,same,same legal name at one address; two DBAs
osm:node/14204036046|osm:way/697893580,same,same,same,same address phone and name; duplicate OSM features
nppes:1750436333|nppes:1952042053,different,different,different,two HealthPartners clinics 5.6 km apart; central phone
nppes:1295858991|nppes:1619688751,same,same,same,same address and phone; same entity name
nppes:1194693259|nppes:1417825563,same,same,same,same legal name; adjacent suites in one building
nppes:1356854442|nppes:1356854442-pl13,different,different,different,chain sites 29 km apart; central phone
nppes:1356854442-pl1|nppes:1356854442-pl10,different,different,different,chain sites 34 km apart; central phone
nppes:1053685586|nppes:1689722639,same,same,same,same suite and phone; Dental Specialists family
nppes:1356854442-pl2|nppes:1356854442-pl5,different,different,different,chain sites 34 km apart; central phone
nppes:1407325830|nppes:1407325830-pl3,different,different,different,different sites 16 km apart; shared phone only
nppes:1710161500|osm:way/608991745,same,same,same,same address; names match
nppes:1336492834|nppes:1447659495,same,same,same,same address and phone; Minnetonka dental names
nppes:1356854442-pl2|nppes:1356854442-pl7,different,different,different,chain sites 30 km apart; central phone
nppes:1073787669|nppes:1831857788,same,same,same,same address and phone; names match
nppes:1356854442-pl10|nppes:1518572916,different,different,different,chain sites 17 km apart; central phone
nppes:1679944698|osm:node/4869073856,different,different,different,same name and phone at addresses 3.4 km apart (rule 3)
nppes:1093445082|osm:node/7202107156,same,same,same,same address and phone; names match
nppes:1407325830-pl5|nppes:1407325830-pl6,different,different,different,different sites; shared phone only
