pair_key,pass1,pass2,label,reason
nppes:1003245333|nppes:1306338553,same,same,same,one brand The Dental Specialists (2d)
nppes:1013153352|nppes:1184770851,same,same,same,Associated Dentists plus a place qualifier at one address (2a)
nppes:1013933381|nppes:1013933381-pl2,different,different,different,street numbers 2330 vs 2360 and phones differ; not a typo under rule 1
nppes:1023664935-pl1|nppes:1255974325-pl8,same,same,same,same suite and phone; old and new orthodontic entity (2c)
nppes:1023664935-pl1|nppes:1760583231,same,same,same,same suite and phone; old and new orthodontic entity (2c)
nppes:1023664935|nppes:1245393230,same,same,same,Lakes Orthodontics and Lakes Orthodontic Associates; same address and phone (2a)
nppes:1023664935|nppes:1255974325-pl4,same,same,same,same address and phone; old and new orthodontic entity (2c)
nppes:1033392014|nppes:1083331771,same,same,same,same suite and phone (2c)
nppes:1043300262|nppes:1982961942,same,same,same,name matches DBA (2b)
nppes:1043355225|nppes:1720413263,same,same,same,same suite and phone; East Wayzata Blvd is Wayzata Blvd (2c)
nppes:1043365992|nppes:1386489318,same,same,same,same address and phone; old and new orthodontic entity (2c)
nppes:1043429970|nppes:1073063103,different,different,different,same building; different suites names and phones
nppes:1043807571|nppes:1679794176,same,same,same,same suite and phone; Park Dental and Stone and Johnson; probable change of ownership (2c)
nppes:1043955412|nppes:1831528447,same,same,same,DBA matches name (2b)
nppes:1053602888|nppes:1174294995,same,same,same,DBA matches name (2b)
nppes:1053685586|nppes:1932256344,different,same,different,adjudicated: rule 2c; Park Dental and Orthodontic Specialists are two brands; a shared group line does not make them one practice
nppes:1063512234|nppes:1639815434,different,different,different,6601 vs 6602 Lyndale; different brands and phones
nppes:1063512234|nppes:1679673867,same,same,same,one Metro Dentalcare Richfield in one building (2d)
nppes:1063512234|nppes:1720188998,same,same,same,same suite and phone; Metro Dentalcare (2d)
nppes:1063512234|nppes:1861140501,same,same,same,one Metro Dentalcare Specialty Center Richfield (2d)
nppes:1073063103|nppes:1659039444,different,different,different,same building; different suites names and phones
nppes:1073461810|nppes:1376222547,same,same,same,same address; names match apart from General (2a)
nppes:1073862819|nppes:1548430101,same,unsure,same,adjudicated: rule 1 puts two suites in one building at one site; rule 2c holds because two dentist corporations share one phone
nppes:1083357727|nppes:1518081082,same,same,same,same address and phone; old and new orthodontic entity (2c)
nppes:1093468852|nppes:1194949511,same,same,same,same suite and phone (2c)
nppes:1104249259|nppes:1538220207,different,different,different,11806 vs 11800 Aberdeen St; names and phones differ
