pair_key,a_source,a_record_id,a_name,a_other_names,a_address,a_postal_code,a_phone,b_source,b_record_id,b_name,b_other_names,b_address,b_postal_code,b_phone,distance_m
nppes:1164040457|nppes:1508476482,nppes,1164040457,COLBY ORTHODONTICS LLC,,9TH ST. AND NICOLLET AVE. SUITE 531,55402,612-332-4344,nppes,1508476482,SENSATIONAL SMILES,MUVE ORTHODONTICS,950 NICOLLET MALL STE 220,55403,612-271-0773,62
nppes:1598413916|nppes:1710344494,nppes,1598413916,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE BLOOMINGTON,10611 FRANCE AVE S STE 200,55431,952-888-4125,nppes,1710344494,"BLOOMINGTON SMILES DENTISTRY, PC",BLOOMINGTON SMILES DENITSTRY,"10700 FRANCE AVENUE, SUITE 102",55437,952-679-3531,134
osm:node/12138867396|osm:node/12139088880,osm,node/12138867396,Anderson Dentalcare,,,,,osm,node/12139088880,Edina Dental Care,,,,,36
osm:node/12139088878|osm:node/12139088880,osm,node/12139088878,Hälsa Edina Dental,,"3948 West 50th Street, Suite 205",55424,+1-952-922-8111,osm,node/12139088880,Edina Dental Care,,,,,112
nppes:1538220207|nppes:1932200037,nppes,1538220207,ABERDEEN DENTAL ASSOCIATES,,"11800 ABERDEEN ST NE, SUITE 110",55449,763-786-4280,nppes,1932200037,NORTHLAND ENDODONTICS PA,,"11800 ABERDEEN ST NE, SUITE 140",55449,763-772-0330,0
nppes:1518616614|nppes:1720188998,nppes,1518616614,"NORTHLAND DENTAL PARTNERS, PLLC",MN DENTALCARE,6601 LYNDALE AVE S STE 230,55423,612-866-1234,nppes,1720188998,"METRO DENTALCARE, PLC",,"6601 LYNDALE AVE S, SUITE 220",55423,612-861-9123,0
nppes:1235366808|nppes:1649329384,nppes,1235366808,"HILLTOP DENTAL, PA",,50 COUNTY ROAD B E,55117,651-490-1200,nppes,1649329384,"APRIL M. SNYDER, D.D.S., P.A.",HILLTOP DENTAL,50 COUNTY ROAD B E,55117,651-488-2541,0
nppes:1487302113|nppes:1497404818,nppes,1487302113,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER MAPLE GROVE ENDODONTICS,15785 95TH AVE N,55369,763-233-4140,nppes,1497404818,"FAMILY ORAL SURGERY SPECIALISTS, PLC",METRO DENTALCARE SPECIALTY CENTER MAPLE GROVE - ORAL SURGERY,15785 95TH AVE N,55369,763-233-4141,0
nppes:1184169153|nppes:1871750026,nppes,1184169153,KANJI AND SAVTRI INC,,3803 SILVER LAKE RD NE,55421,612-782-7000,nppes,1871750026,TWIN CITIES DENTAL,,3803 SILVER LAKE RD NE,55421,612-782-7000,0
nppes:1356967061|nppes:1801991146,nppes,1356967061,ROSEMARY LELICH PA,,5804 EXCELSIOR BLVD,55416,952-922-7117,nppes,1801991146,FAMILY ORTHODONTICS PA,,5804 EXCELSIOR BLVD,55416,952-922-7117,0
nppes:1255974325-pl8|nppes:1760583231,nppes,1255974325-pl8,SMILE DOCTORS OF MINNESOTA PC,,4535 HODGSON RD STE 700,55126,651-765-1945,nppes,1760583231,ALAN B MONTGOMERY ORTHODONTICS,,"4535 HODGSON RD, 700",55126,651-765-1945,0
nppes:1124262514|nppes:1356977136,nppes,1124262514,LINO LAKES FAMILY DENTISTRY,,591 APOLLO DR,55014,651-786-7630,nppes,1356977136,"CHARYL WEINGARTEN, D.D.S., P.L.L.C",LINO LAKES FAMILY DENTISTRY,591 APOLLO DR,55014,651-786-7630,0
nppes:1043429970|nppes:1073063103,nppes,1043429970,BIRCHWOOD DENTAL OF MINNEAPOLIS,,"825 NICOLLET MALL, 829 MEDICAL ARTS BLDG",55402,612-333-8677,nppes,1073063103,"MINNESOTA DENTAL PROFESSIONALS, P.C.",DENTAL ARTS OF MINNEAPOLIS,"825 NICOLLET MALL, STE 425",55402,612-332-7675,0
nppes:1104249259|nppes:1952997421,nppes,1104249259,CAMPODONICO FAMILY & COSMETIC DENTISTRY PC,ARDEN DENTAL ASSOCIATES,"11806 ABERDEEN ST NE, SUITE 150",55449,763-786-1545,nppes,1952997421,"NODLANDMONDRY, P.L.L.C.",ABERDEEN DENTAL ASSOCIATES,11800 ABERDEEN ST NE STE 110,55449,402-560-8346,16
nppes:1558218537|nppes:1770205064,nppes,1558218537,WELLSPRING DENTAL HEALTH,,7701 YORK AVE S STE 140,55435,952-956-6700,nppes,1770205064,TARA KAUR DDS PLLC,,"7701 YORK AVE SOUTH, SUITE 140",55435,952-956-6700,0
nppes:1598865651|nppes:1861140501,nppes,1598865651,FAMILY ORAL SURGERY SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ORAL SURGERY,6601 LYNDALE AVE S STE 230,55423,612-861-9123,nppes,1861140501,FAMILY ENDODONTIC SPECIALISTS PLC,METRO DENTALCARE SPECIALTY CENTER RICHFIELD - ENDODONTICS,6601 LYNDALE AVE S STE 230A,55423,612-638-1206,0
nppes:1639334428|nppes:1972699908,nppes,1639334428,"BRYAN J. OPHAUG, D.D.S., P.A.",BASS LAKE DENTAL GROUP,7123 BASS LAKE RD,55428,763-533-5359,nppes,1972699908,ROBERT D THOMPSON DDS PA,BASS LAKE DENTAL GROUP,7123 BASS LAKE RD,55428,763-533-5359,0
nppes:1053602888|nppes:1174294995,nppes,1053602888,APPLE VALLEY FAMILY DENTISTRY,,"7493 147TH ST W, SUITE #100",55124,952-432-7145,nppes,1174294995,"MINNESOTA DENTAL PROFESSIONALS, P.C.",APPLE VALLEY FAMILY DENTISTRY,7493 147TH ST W STE 100,55124,952-432-7145,0
nppes:1447193297-pl1|nppes:1801068358,nppes,1447193297-pl1,MCFARLAND PLLC,,7501 80TH ST S STE 110,55016,651-459-7888,nppes,1801068358,AL M VIRGEN DMD PA,ALL SMILES DENTISTRY,"7501 80TH ST S, SUITE 2",55016,651-459-7888,0
nppes:1083357727|nppes:1518081082,nppes,1083357727,"FAMILY ORTHODONTIC SPECIALISTS, PLC",WOODLAKE ORTHODONTICS MAPLE GROVE,13784 83RD WAY N,55369,763-494-6612,nppes,1518081082,OCG LTD,ORTHODONTIC CARE SPECIALISTS,13784 83RD WAY N,55369,763-494-6612,0
nppes:1215673454|nppes:1720647589,nppes,1215673454,PROPER SLEEP EAST METRO PLLC,,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,nppes,1720647589,LINDGREN DENTAL CARE PLLC,LINDGREN DENTAL CARE,6936 PINE ARBOR DR S STE 210,55016,651-769-1000,0
nppes:1295227247|nppes:1477677946,nppes,1295227247,"ORTHODONTIC SPECIALISTS OF MINNESOTA, P.L.L.C.",THE DENTAL SPECIALISTS- ORTHODONTICS,8650 HUDSON BLVD N STE 105,55042,651-268-2992,nppes,1477677946,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,8980 HUDSON BLVD N,55042,651-501-1467,23
