pair_key,verdict,routed_by,score,block,a_source,a_record_id,a_name,a_other_names,a_address,a_postal_code,a_phone,b_source,b_record_id,b_name,b_other_names,b_address,b_postal_code,b_phone,distance_m
nppes:1003009374|nppes:1093442048,distinct,,0.315,address,nppes,1003009374,ENDODONTIC PROFESSIONALS PA ARBOR LAKES ENDODONTICS,,"12000 ELM CREEK BLVD, SUITE 240",55369,763-416-3619,nppes,1093442048,WANG PERIODONTICS PLLC,MAPLE GROVE PERIODONTICS AND IMPLANT DENTISTRY,12000 ELM CREEK BLVD N STE 320,55369,763-420-0200,0
nppes:1003009374|nppes:1306424197,distinct,,0.363,address,nppes,1003009374,ENDODONTIC PROFESSIONALS PA ARBOR LAKES ENDODONTICS,,"12000 ELM CREEK BLVD, SUITE 240",55369,763-416-3619,nppes,1306424197,"MINNESOTA DENTAL PROFESSIONALS, P.C.",ARBOR LAKES DENTAL,12000 ELM CREEK BLVD N STE 230,55369,763-251-5280,0
nppes:1003009374|nppes:1891295861,distinct,,0.302,address,nppes,1003009374,ENDODONTIC PROFESSIONALS PA ARBOR LAKES ENDODONTICS,,"12000 ELM CREEK BLVD, SUITE 240",55369,763-416-3619,nppes,1891295861,MAPLE GROVE PERIODONTICS AND IMPLANT DENTISTRY,,12000 ELM CREEK BLVD N,55369,763-420-0200,0
nppes:1003009374|nppes:1922181197,distinct,,0.275,address,nppes,1003009374,ENDODONTIC PROFESSIONALS PA ARBOR LAKES ENDODONTICS,,"12000 ELM CREEK BLVD, SUITE 240",55369,763-416-3619,nppes,1922181197,"MAPLE GROVE FAMILY DENTAL CLINIC, PA",,"12000 ELM CREEK BLVD N, SUITE #220",55369,763-420-4421,0
nppes:1003035064|osm:way/603434089,review,same place,0.491,nearby,nppes,1003035064,CASSANDRA L ZIRBEL DDS MS,ORTHODONTICS BY ZIRBEL,7729 79TH ST S,55016,651-459-6674,osm,way/603434089,Zirbel Orthodontics,,,,,41
nppes:1003108895|osm:way/126155334,review,same place,0.500,nearby,nppes,1003108895,NICOLLET DENTAL,,6101 NICOLLET AVE. SO.,55419,612-866-8550,osm,way/126155334,Nicollet Dental,,6053 Nicollet Avenue,55419,,54
nppes:1003174764|nppes:1760802722,distinct,,0.450,phone,nppes,1003174764,DENTALIGN P.A.,,7860 MAIN ST,55369,763-420-1030,nppes,1760802722,"DENTALIGN, P.A",TC ORTHODONTICS,470 W 78TH ST,55317,763-420-1030,27194
nppes:1003174764|nppes:1871837708,distinct,,0.450,phone,nppes,1003174764,DENTALIGN P.A.,,7860 MAIN ST,55369,763-420-1030,nppes,1871837708,"DENTALIGN, P.A",,4630 EDGEBROOK PL,55424,763-420-1030,21808
nppes:1003231713|osm:node/7168431321,review,score,0.600,address,nppes,1003231713,RICHFIELD DENTISTRY PC,RICHFIELD DENTISTRY,6411 RICHFIELD PKWY,55423,612-869-3440,osm,node/7168431321,Richfield Dentistry,,6411 Richfield Parkway,55423,,
nppes:1003245333|nppes:1013216811,distinct,,0.309,address,nppes,1003245333,"DENTAL SPECIALISTS OF MINNESOTA, PLLC",THE DENTAL SPECIALISTS,1109 MOORE LAKE DR E,55432,763-571-9990,nppes,1013216811,MINNEAPOLIS-ST. PAUL PERIODONTICS,,1109 EAST MOORE LAKE DRIVE,55432,651-439-2600,0
