pair_key,a_source,a_record_id,a_name,a_other_names,a_address,a_postal_code,a_phone,b_source,b_record_id,b_name,b_other_names,b_address,b_postal_code,b_phone,distance_m
nppes:1295907202|osm:node/13089392420,nppes,1295907202,SUMMIT DENTAL P.A.,,10756 BUTTERNUT ST NW,55448,763-757-4170,osm,node/13089392420,Summit Dental Care,,10756 Butternut Street Northwest,55448,,76
nppes:1578505152-pl5|nppes:1871155788,nppes,1578505152-pl5,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,750 MAIN ST STE 217,55118,651-450-7273,nppes,1871155788,PAUL R WILD DDS PA,,"750 MAIN ST, SUITE 215",55118,651-452-0261,0
nppes:1225629017-pl1|nppes:1316538101-pl2,nppes,1225629017-pl1,"GROUP HEALTH, INC.",HEALTHPARTNERS SPECIALTY DENTAL,8515 EAGLE POINT BLVD STE 200,55042,651-523-9950,nppes,1316538101-pl2,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,8515 EAGLE POINT BLVD STE 200,55042,651-523-9950,0
nppes:1164546040|nppes:1326044538,nppes,1164546040,"COSMETIC, FAMILY & SPORTS DENTISTRY, PA",,"6545 FRANCE AVE S, SUITE 585",55435,952-922-9119,nppes,1326044538,SOUTHDALE PERIODONTICS,,"6545 FRANCE AVE S, STE 190",55435,952-922-6949,0
nppes:1578505152-pl3|nppes:1962645051,nppes,1578505152-pl3,MINNESOTA ORTHODONTICS,NORTHFIELD ORTHODONTICS,1004 DIFFLEY RD STE 400,55123,651-450-7273,nppes,1962645051,MINNESOTA ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS PA,,1745 N FRONTAGE RD,55033,651-450-7273,20912
nppes:1356854442-pl2|nppes:1518572916,nppes,1356854442-pl2,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS|SM:)E ORTHO,1670 BEAM AVE STE 202,55109,651-351-7777,nppes,1518572916,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS,2008 FORD PKWY,55116,651-351-7777,17303
nppes:1356404883|nppes:1992820153,nppes,1356404883,WOODDALE DENTAL GROUP PA,,3401 WOODDALE AVE S,55416,952-929-3336,nppes,1992820153,ORTHODONTIC CARE GROUP,ORTHODONTIC CARE SPECIALISTS,3401 WOODDALE AVE S,55416,952-920-1373,0
nppes:1538216411|nppes:1982767125,nppes,1538216411,MINNESOTA ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS PA,DR. D. ORTHODONTICS,"3475 PLYMOUTH BLVD, SUITE 300",55447,763-559-0559,nppes,1982767125,JEANNE L BARSS DDS MS PA,JEANNE L BARSS DDS MS,"3475 PLYMOUTH BLVD, ST 200",55447,763-694-6158,0
nppes:1619938057|nppes:1952028490,nppes,1619938057,GIEBENHAIN DENTAL ASSOCIATES PA,,"5851 DULUTH STREET, SUITE #103",55422,763-545-0330,nppes,1952028490,"DAN B. ANG DDS, LLC",,"5851 DULUTH STREET, SUITE 313",55422,763-542-8723,0
nppes:1164546040|nppes:1700589264,nppes,1164546040,"COSMETIC, FAMILY & SPORTS DENTISTRY, PA",,"6545 FRANCE AVE S, SUITE 585",55435,952-922-9119,nppes,1700589264,ADVANCED RECONSTRUCTIVE DENTISTRY PLLC,,6545 FRANCE AVE S STE 680,55435,952-922-5326,0
nppes:1073667051|nppes:1316538101-pl1,nppes,1073667051,"GROUP HEALTH, INC.",HEALTHPARTNERS BROOKLYN CENTER DENTAL CLINIC,5901 JOHN MARTIN DR,55430,763-566-3770,nppes,1316538101-pl1,"GROUP HEALTH, INC.",HEALTHPARTNERS PEDIATRIC DENTAL,5901 JOHN MARTIN DR,55430,763-585-8700,0
nppes:1003174764|nppes:1760802722,nppes,1003174764,DENTALIGN P.A.,,7860 MAIN ST,55369,763-420-1030,nppes,1760802722,"DENTALIGN, P.A",TC ORTHODONTICS,470 W 78TH ST,55317,763-420-1030,27194
nppes:1124411772|nppes:1710321930,nppes,1124411772,AHMED SALAD ASSOCIATES,SIGNAL HILL DENTAL,"1200 S ROBERT ST, SUITE C",55118,651-340-9151,nppes,1710321930,BRITE DENTAL WEST ST PAUL PC,,"1200 ROBERT ST S, SUITE C",55118,651-340-9151,0
nppes:1396483996|osm:node/7176583044,nppes,1396483996,DENTISTS OF WEST ST PAUL PC,DENTISTS OF WEST ST PAUL,1740 ROBERT ST S STE 110,55118,651-347-1252,osm,node/7176583044,Dentists of West Saint Paul,,"1740 Robert Street South, Unit 110",55118,,49
nppes:1356854442-pl4|nppes:1518572916,nppes,1356854442-pl4,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS|SM:)E ORTHO,3007 LYNDALE AVE S,55408,651-351-7777,nppes,1518572916,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS,2008 FORD PKWY,55116,651-351-7777,8771
nppes:1659611333|nppes:1972748721,nppes,1659611333,"DAN B ANG, DDS,LLC",,"5851 DULUTH ST, SUITE 313",55422,763-542-8723,nppes,1972748721,CENTENNIAL LAKES DENTAL GROUP,,5851 DULUTH ST STE 218,55422,763-544-0121,0
nppes:1649318619|osm:node/6734428577,nppes,1649318619,"RICHARD C AXEL. DDS, PA",,"7935 STONE CREEK DR, #150",55317,952-937-2839,osm,node/6734428577,Stone Creek Dental,,"7935 Stone Creek Drive, 150",55317,,136
nppes:1013153352|nppes:1699838011,nppes,1013153352,ASSOCIATED DENTISTS SHOLOM HOME,,"1371 7TH ST W, SUITE B",55102,651-488-5557,nppes,1699838011,LEXINGTON DENTAL,,"1790 LEXINGTON AVE N, SUITE B",55113,651-488-5557,8345
nppes:1720413263|nppes:1861507329,nppes,1720413263,EXCEL DENTISTRY PLLC,,"1421 WAYZATA BLVD, SUITE 320",55391,952-475-2907,nppes,1861507329,MARK F SOUERS DDS PA,MARK F SOUERS DDS,"1421 WAYZATA BLVD, SUITE #325",55391,952-476-6655,0
nppes:1356854442-pl1|nppes:1689842841,nppes,1356854442-pl1,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS|SM:)E ORTHO,266 E TRAVELERS TRL STE 105,55337,651-351-7777,nppes,1689842841,"ST. CROIX VALLEY DENTAL, PLLC",NORTHERN ORTHODONTICS,13961 60TH ST N,55082,651-351-7777,45755
nppes:1407325830-pl5|nppes:1760540165,nppes,1407325830-pl5,FACIAL PAIN CENTER PLLC,,"5000 W 38TH STREET, STE. 250",55416,952-926-3858,nppes,1760540165,"PDG, P.A.",PARK DENTAL,"5000 W 36TH ST, SUITE 250",55416,952-920-3700,
nppes:1740923309|osm:node/6391789948,nppes,1740923309,"NORTHLAND DENTAL PARTNERS, PLLC",METRO DENTALCARE CHANHASSEN,7806 MARKET BLVD,55317,952-949-1083,osm,node/6391789948,Metro Dentalcare Chanhassen,,7806 Market Boulevard,55317,+1-952-949-1083,35
nppes:1922185016|nppes:1942214200,nppes,1922185016,LAKE MINNETONKA DENTAL,BRYAN N LASKIN DDS PA,"109 BUSHAWAY RD, SUITE 300",55391,952-475-0225,nppes,1942214200,MCKONE DENTAL CARE DDS PA,,"109 BUSHAWAY RD, SUITE 300",55391,952-475-0225,0
nppes:1235311614|nppes:1356854442-pl10,nppes,1235311614,COMMUNITY DENTAL CARE INC,,1670 BEAM AVE,55109,651-925-8400,nppes,1356854442-pl10,SMILE ORTHODONTICS STILLWATER LLC,SMILE ORTHODONTICS|SM:)E ORTHO,1670 BEAM AVE STE 203,55109,651-351-7777,0
